id,name,type,lat,lon
497,Starbucks,cafe,12.985948,77.587917
498,Bathla Aluminium,office,12.994944,77.589401
499,Electronic Relays India Pvt. Ltd.,office,12.994995,77.589421
500,Oorvani Foundation,office,12.994798,77.589223
501,Daksh Foundation,office,12.994813,77.589169
502,KSIIDC,office,12.983311,77.585745
503,The Drug Hut,pharmacy,12.998967,77.580012
504,CnT Architects,office,12.996739,77.587317
505,Bilva Pharmacy,pharmacy,12.998982,77.580285
506,Central Bank of India,bank,12.9989,77.581152
507,Office of the Chief Postmaster General,office,12.979298,77.585956
508,Axis Bank,bank,12.974286,77.566349
509,Rosenberger Interconnect India Private Limited,office,12.994565,77.589853
510,AICTE Indovation Centre,office,12.973765,77.581139
511,Drugs Control Department,office,12.982178,77.58622
512,Commissioner of Treasuries,office,12.982096,77.58654
513,HDFC Bank,bank,12.998248,77.570637
514,The Malleshwaram Cooperative Bank,bank,12.998537,77.570488
515,24/7,restaurant,12.992368,77.582064
516,OKO,restaurant,12.992217,77.581981
517,Baluchi,restaurant,12.992512,77.582137
518,The Green Path,restaurant,12.990458,77.571973
519,Canara Bank,bank,12.985511,77.578817
520,Kotak Mahindra Bank,bank,12.999026,77.583908
521,IDFC First Bank,bank,12.987502,77.580059
522,Bossman Instruments Technology,office,12.988257,77.573683
523,Be Luru,restaurant,12.997556,77.584202
524,The Hyderabad Chefs,restaurant,12.986661,77.574289
525,Karnataka State Human Rights Commission,office,12.978979,77.58719
526,Veneta Cucine,restaurant,12.998813,77.58395
527,Bellatrix Aerospace,office,12.996719,77.585014
528,Aditya Birla,office,12.984716,77.586865
529,Karnataka Power Corporation Limited,office,12.984207,77.586078
530,Chalukya Samrat,restaurant,12.988547,77.577203
531,Kalmane Koffees,cafe,12.992123,77.570313
532,Starbucks,cafe,12.991358,77.571115
533,Extra Chutney,restaurant,12.979026,77.577627
534,Blanc The Coffee Place,cafe,12.985053,77.579106
535,Chin Lung,restaurant,12.976245,77.578728
536,Loya,restaurant,12.985011,77.58476
537,Novyukthi Solutions Private Limited,office,12.996068,77.579588
538,Garuda Mall Parking,parking,12.970381,77.609419
539,Koshy's,restaurant,12.975632,77.601476
540,Hard Rock Cafe,restaurant,12.976226,77.601481
541,The Only Place,restaurant,12.973244,77.60339
542,Temple of The Senses,cafe,12.975103,77.602844
543,Indian Coffee House,restaurant,12.97454,77.60525
544,Shiro,restaurant,12.971852,77.596409
545,Bowring Stall,cafe,12.975115,77.601415
546,Kotak Mahindra Bank,bank,12.976218,77.599313
547,Cafe Coffee Day,cafe,12.971782,77.594231
548,IELTS Test Center,office,12.974201,77.597045
549,Dhanlaxmi Bank,bank,12.975117,77.59762
550,Yes Bank,bank,12.975652,77.597345
551,Josco,office,12.975272,77.597872
552,Bajaj,office,12.975596,77.598286
553,Bird and Rabbit park,leisure_park,12.977007,77.596936
554,Hotel Empire,restaurant,12.979839,77.602791
555,ICICI Bank,bank,12.970682,77.599609
556,Bank of India,bank,12.970863,77.60104
557,Amruth Vegetarian Restaurant,restaurant,12.971194,77.600779
558,Ebony,restaurant,12.975362,77.605164
559,Ullas Refreshment,restaurant,12.974538,77.609603
560,Highgates Hotel,restaurant,12.975375,77.602894
561,Ruby Tuesday,restaurant,12.974685,77.605772
562,Purple Haze,restaurant,12.972963,77.608605
563,Paris Panini,restaurant,12.974756,77.605137
564,India Post Museum Road,post_office,12.973043,77.603466
565,Paramount Restaurant,restaurant,12.971167,77.605779
566,Airlines,restaurant,12.972731,77.599718
567,Rice Bowl,restaurant,12.974825,77.599433
568,Mavalli Tiffin Rooms,restaurant,12.972176,77.600954
569,Palm Grove,restaurant,12.97159,77.608498
570,Sangam,restaurant,12.971893,77.606567
571,F & B,restaurant,12.971312,77.599727
572,Swagath ShankarNag Chitramandira,cinema,12.974414,77.609578
